id;date;image;image_thumbails;image_watermarks;title;description;created_date;last_modified;category_id;user_id
62;2022-01-13 01:00:00+01;galleria/originale/incendio_tetto_62.jpg;galleria/thumbails/incendio_tetto_62.jpg;galleria/watermarks/incendio_tetto_62.jpg;Incendio Tetto;Simulazione presso le scuole di formazione operative di Montelibretti di un incendio tetto.;2022-01-13 11:13:38.020946+01;2022-01-13 11:13:38.020964+01;8;15
94;2022-01-14 01:00:00+01;galleria/originale/mototroncatore_94.jpg;galleria/thumbails/mototroncatore_94.jpg;galleria/watermarks/mototroncatore_94.jpg;Mototroncatore;Istruzione sull'uso del mototroncatore presso le scuole centrali VVF.;2022-01-14 11:09:59.417701+01;2022-01-14 11:09:59.417716+01;10;15
57;2022-01-11 01:00:00+01;galleria/originale/incendio_autovettura_57.jpg;galleria/thumbails/incendio_autovettura_57.jpg;galleria/watermarks/incendio_autovettura_57.jpg;incendio autovettura;Esercitazione Montelibretti, SFO 2021;2022-01-11 12:16:36.126408+01;2022-01-11 12:16:36.126426+01;8;11
73;2022-01-13 01:00:00+01;galleria/originale/demolizione_73.jpg;galleria/thumbails/demolizione_73.jpg;galleria/watermarks/demolizione_73.jpg;Demolizione;messa in sicurezza;2022-01-13 16:56:02.114241+01;2022-01-14 00:15:48.613761+01;2;1
60;2022-01-13 01:00:00+01;galleria/originale/salvataggio_in_mare_60.jpg;galleria/thumbails/salvataggio_in_mare_60.jpg;galleria/watermarks/salvataggio_in_mare_60.jpg;Salvataggio in mare;Recupero con elicottero di un sommozzatore con infortunato in mare.;2022-01-13 10:55:20.733034+01;2022-01-13 10:55:20.733055+01;7;15
75;2022-01-13 01:00:00+01;galleria/originale/concordia_75.jpg;galleria/thumbails/concordia_75.jpg;galleria/watermarks/concordia_75.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.451771+01;2022-01-14 00:29:06.157827+01;9;1
76;2022-01-13 01:00:00+01;galleria/originale/concordia_76.jpg;galleria/thumbails/concordia_76.jpg;galleria/watermarks/concordia_76.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.579717+01;2022-01-14 00:30:05.708172+01;9;1
77;2022-01-13 01:00:00+01;galleria/originale/concordia_77.jpg;galleria/thumbails/concordia_77.jpg;galleria/watermarks/concordia_77.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.615297+01;2022-01-14 00:28:27.72715+01;9;1
78;2022-01-13 01:00:00+01;galleria/originale/concordia_78.jpg;galleria/thumbails/concordia_78.jpg;galleria/watermarks/concordia_78.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.635588+01;2022-01-14 00:26:47.914969+01;9;1
79;2022-01-13 01:00:00+01;galleria/originale/concordia_79.jpg;galleria/thumbails/concordia_79.jpg;galleria/watermarks/concordia_79.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.655317+01;2022-01-14 00:29:24.628207+01;9;1
80;2022-01-13 01:00:00+01;galleria/originale/concordia_80.jpg;galleria/thumbails/concordia_80.jpg;galleria/watermarks/concordia_80.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.675907+01;2022-01-14 00:26:02.629484+01;9;1
81;2022-01-13 01:00:00+01;galleria/originale/concordia_81.jpg;galleria/thumbails/concordia_81.jpg;galleria/watermarks/concordia_81.jpg;CONCORDIA;Naufragio Costa Concordia, operazioni dei Vigili del Fuoco;2022-01-13 18:02:28.695558+01;2022-01-14 00:29:49.981034+01;9;1
